Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00  6000501     0.00     0.00  std::__detail::_Hashtable_base<char const*, std::pair<char const* const, double*>, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.01     0.00  6000003     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false>*)
  0.00      0.01     0.00  5000301     0.00     0.00  controller::getVar(char const*, double&) const
  0.00      0.01     0.00  5000301     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() const
  0.00      0.01     0.00  5000301     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(char const* const&) const
  0.00      0.01     0.00  5000301     0.00     0.00  std::unordered_map<char const*, double*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double*> > >::end() const
  0.00      0.01     0.00  5000301     0.00     0.00  std::unordered_map<char const*, double*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double*> > >::find(char const* const&) const
  0.00      0.01     0.00  5000301     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<char const* const, double*>, false, false>::operator->() const
  0.00      0.01     0.00  5000000     0.00     0.00  lilc::isExprToken(char const*)
  0.00      0.01     0.00  5000000     0.00     0.00  lilc::isTinyKey(char const*)
  0.00      0.01     0.00  4000408     0.00     0.00  lilc::tick()
  0.00      0.01     0.00  4000408     0.00     0.00  lilc::getWord(int) const
  0.00      0.01     0.00  4000404     0.00     0.00  __gnu_cxx::__normal_iterator<lilc::DeepCode*, std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> > >::__normal_iterator(lilc::DeepCode* const&)
  0.00      0.01     0.00  4000000     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false, false>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false>*)
  0.00      0.01     0.00  3480000     0.00     0.00  te_free_parameters
  0.00      0.01     0.00  3360000     0.00     0.00  next_token
  0.00      0.01     0.00  3240000     0.00     0.00  new_expr
  0.00      0.01     0.00  3240000     0.00     0.00  te_free
  0.00      0.01     0.00  3000003     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_ptr()
  0.00      0.01     0.00  3000003     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_addr()
  0.00      0.01     0.00  3000003     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.01     0.00  3000003     0.00     0.00  std::__detail::_Hash_code_base<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::__detail::_Select1st, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.01     0.00  3000003     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_valptr()
  0.00      0.01     0.00  3000002     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, char const* const&, unsigned long) const
  0.00      0.01     0.00  3000002     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, char const* const&, unsigned long) const
  0.00      0.01     0.00  3000002     0.00     0.00  std::__detail::_Hash_code_base<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::__detail::_Select1st, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(char const* const&) const
  0.00      0.01     0.00  3000002     0.00     0.00  std::__detail::_Hash_code_base<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::__detail::_Select1st, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.01     0.00  3000000     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_ptr() const
  0.00      0.01     0.00  3000000     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_addr() const
  0.00      0.01     0.00  3000000     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.01     0.00  3000000     0.00     0.00  decltype ((get<0>)((forward<std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&>(std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&) const
  0.00      0.01     0.00  3000000     0.00     0.00  std::__detail::_Hashtable_base<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.01     0.00  3000000     0.00     0.00  std::__detail::_Hashtable_base<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(char const* const&, unsigned long, std::__detail::_Hash_node_value<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false> const&) const
  0.00      0.01     0.00  3000000     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_v() const
  0.00      0.01     0.00  3000000     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::_M_valptr() const
  0.00      0.01     0.00  3000000     0.00     0.00  char const* const& std::__pair_get<0ul>::__const_get<char const* const, std::vector<double, std::allocator<double> >*>(std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&)
  0.00      0.01     0.00  3000000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
